Text,Target
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,0
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,0
my whole body feels itchy and like its on fire ,0
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",0
@Kwesidei not the whole crew ,0
Need a hug ,0
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",0
@Tatiana_K nope they didn't have it ,0
@twittera que me muera ? ,0
spring break in plain city... it's snowing ,0
I just re-pierced my ears ,0
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,0
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",0
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",0
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,0
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,0
about to file taxes ,0
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,0
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,0
@alydesigns i was out most of the day so didn't get much done ,0
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",0
@angry_barista I baked you a cake but I ated it ,0
this week is not going as i had hoped ,0
blagh class at 8 tomorrow ,0
I hate when I have to call and wake people up ,0
Just going to cry myself to sleep after watching Marley and Me.  ,0
im sad now  Miss.Lilly,0
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,0
Meh... Almost Lover is the exception... this track gets me depressed every time. ,0
some1 hacked my account on aim  now i have to make a new one,0
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,0
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,0
@julieebaby awe i love you too!!!! 1 am here  i miss you,0
@HumpNinja I cry my asian eyes to sleep at night ,0
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,0
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,0
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,0
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,0
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,0
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,0
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,0
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",0
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,0
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,0
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,0
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",0
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,0
is strangely sad about LiLo and SamRo breaking up. ,0
@tea oh! i'm so sorry  i didn't think about that before retweeting.,0
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,0
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",0
our duck and chicken are taking wayyy too long to hatch ,0
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",0
I need a hug ,0
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",0
@oanhLove I hate when that happens... ,0
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",0
Ugh....92 degrees tomorrow ,0
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,0
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",0
just leaving the parking lot of work! ,0
The Life is cool. But not for Me. ,0
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",0
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,0
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,0
Damm back to school tomorrow ,0
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",0
@katortiz  Not forever... See you soon!,0
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",0
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,0
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,0
i really hate how people diss my bands!  Trace is clearly NOT ugly!,0
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",0
Why won't you show my location?!   http://twitpic.com/2y2es,0
No picnic  my phone smells like citrus.,0
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",0
No new csi tonight.  FML,0
i think my arms are sore from tennis ,0
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,0
sleep soon... i just hate saying bye and see you tomorrow for the night. ,0
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",0
missin' the boo ,0
@markhardy1974 Me too  #itm,0
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,0
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",0
@msdrama hey missed ya at the meeting  sup mama,0
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",0
why is it always the fat ones?! ,0
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",0
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,0
wednesday my b-day! don't know what 2 do!! ,0
Poor cameron (the hills) ,0
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",0
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",0
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,0
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",0
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",0
"@stark YOU don't follow me, either  and i work for you!",0
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,0
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,0
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",0
Behind on my classes for work ,0
watching &quot;House&quot; ,0
@kpreyes Remember my bum leg? Strikes back this time its serious ,0
"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",0
Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,0
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,0
@Henkuyinepu it's overrated ,0
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,0
laying in bed with no voice.. ,0
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,0
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,0
"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",0
@salancaster  hope your ok.,0
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,0
@HibaNick yeah aw but i know i wudnt stand a chance ,0
ugh. cant sleep. its 1:30am. ,0
Hanging in Crooners. Wanna sing. Can't. Sucks. ,0
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,0
Is pissed off that there's no ASBA's for a radio station. ,0
wednesday my b-day n don't know what 2 do!  ,0
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,0
